section,claim_need,cite_key,status,source_type,authoritative_source,source_url,how_to_use,action
"Introduction","HIL-RL can make real-robot manipulation more sample efficient with interventions","luo2025hilserl","in_main_bib","Science Robotics / arXiv","arXiv and DOI","https://arxiv.org/abs/2410.21845","Use as core robotics HIL-RL motivation; avoid claiming exact reproduction.","verify DOI metadata before final"
"Introduction","HIL-RL should reason about human involvement phases and requirements","retzlaff2024hitl","in_main_bib","JAIR","DOI","https://doi.org/10.1613/jair.1.15348","Use for broad HITL-RL framing.","spot-check metadata"
"Related Work","Learning from interventions and HIL-SERL-style systems use RLPD/off-policy RL","ball2023rlpd","in_main_bib","ICML / arXiv","arXiv","https://arxiv.org/abs/2302.02948","Use to justify 50/50 demo+online replay and offline-data online RL backbone.","spot-check venue metadata"
"Method/Setup","SAC is the primary off-policy maximum-entropy actor-critic backbone","haarnoja2018sac","candidate_to_add","ICML / PMLR","PMLR","https://proceedings.mlr.press/v80/haarnoja18b.html","Use as the main SAC algorithm citation for the experimental setup.","audited in R037; add after final bib decision"
"Method/Setup","SAC automatic entropy tuning and robotics applications support stability claims","sac2018applications","candidate_to_add","arXiv","arXiv","https://arxiv.org/abs/1812.05905","Use only as a SAC applications companion citation, not as the primary algorithm venue.","audited in R037; optional secondary citation"
"Method/Setup","robosuite is a modular MuJoCo robot-learning benchmark/simulation framework","robosuite2020","candidate_to_add","arXiv","arXiv","https://arxiv.org/abs/2009.12293","Use to cite Lift/Stack simulation substrate.","audited in R037; add after final bib decision"
"Method/Setup","robomimic/robot demonstration learning is relevant for offline human demonstrations","mandlekar2021robomimic","in_main_bib","CoRL / arXiv","arXiv","https://arxiv.org/abs/2108.03298","Use for demonstration-data setup and offline imitation context.","spot-check venue metadata"
"Related Work","Robot-gated / budget-aware interactive imitation learning exists but is not model-based HIL-RL","hoque2021thrifty","in_main_bib","CoRL / arXiv","arXiv","https://arxiv.org/abs/2109.08273","Use for cost-aware querying baseline context.","spot-check pages"
"Related Work","Adaptive intervention mechanisms can reduce takeover cost in robot-gated IL","cai2025aim","in_main_bib","ICML / PMLR","Proceedings","https://proceedings.mlr.press/v267/cai25e.html","Use as robot-gated intervention related work.","spot-check final PMLR metadata"
"Related Work","Model-based RL ensembles support uncertainty-aware short-horizon rollouts","chua2018pets","in_main_bib","NeurIPS / arXiv","arXiv","https://arxiv.org/abs/1805.12114","Use for dynamics ensemble / PETS uncertainty lineage.","spot-check pages"
"Related Work","MBPO frames short model rollouts and when to trust a learned model","janner2019mbpo","in_main_bib","NeurIPS / arXiv","arXiv","https://arxiv.org/abs/1906.08253","Use to justify short lookahead caution.","spot-check pages"
"Related Work","Modern network calibration motivates reliability diagnostics for trigger scores","guo2017calibration","in_main_bib","ICML / arXiv","arXiv","https://arxiv.org/abs/1706.04599","Use for score calibration / ECE discussion.","spot-check ICML pages"
"Evaluation Protocol","Deep RL results require reproducibility discipline and statistical reporting","henderson2018deeprlmatters","candidate_to_add","AAAI","AAAI DOI","https://ojs.aaai.org/index.php/AAAI/article/view/11694","Use to justify multiple seeds and reporting variance.","audited in R037; add after final bib decision"
"Evaluation Protocol","Few-run deep RL comparisons need interval estimates and robust statistics","agarwal2021statisticalprecipice","candidate_to_add","NeurIPS / arXiv","arXiv","https://arxiv.org/abs/2108.13264","Use to justify repeated checkpoint estimates and uncertainty reporting.","audited in R037 as arXiv; official NeurIPS URL unresolved"
"Evaluation Protocol","Wilson intervals are appropriate binomial-proportion intervals for success counts","wilson1927score","candidate_to_add","Journal article","CrossRef DOI","https://doi.org/10.1080/01621459.1927.10502953","Use only for statistical interval formula; avoid over-explaining in main text.","audited in R037; add after final bib decision"
"Discussion","Negative findings and cost-matched baselines can prevent unsupported trigger-superiority claims","agarwal2021statisticalprecipice","candidate_to_add","NeurIPS / arXiv","arXiv","https://arxiv.org/abs/2108.13264","Use cautiously: it supports uncertainty/statistical rigor, not HIL-specific negative findings.","audited in R037 as arXiv; do not overclaim"
