run_id,artifact_type,task,configuration,seeds,successes,episodes,success_rate,ci_low,ci_high,mean_best_human_steps,primary_source,claim_supported,registry_note
R018,stack_boundary_eval,Stack,none_matched_bc,0;1;2,131,180,0.7278,0.6585,0.7875,0.0,results/r018_stack_multiseed_alignment/r018_stack_multiseed_aggregate.csv,stack_boundary_reference,"Strong no-online matched behavioral-cloning baseline; retained as zero-online-human reference for Stack boundary evidence."
R018,stack_boundary_eval,Stack,random_matched_bc,0;1;2,107,180,0.5944,0.5215,0.6635,478.0,results/r018_stack_multiseed_alignment/r018_stack_multiseed_aggregate.csv,stack_online_negative,"Random online intervention under matched Stack setup is below no-online matched BC while using substantial online human cost."
R018,stack_boundary_eval,Stack,voi_stack_tuned,0;1;2,107,180,0.5944,0.5215,0.6635,433.3,results/r018_stack_multiseed_alignment/r018_stack_multiseed_aggregate.csv,stack_online_negative,"Stack-tuned LV-VoI is below no-online matched BC while using substantial online human cost; boundary evidence only."
R020,repeated_checkpoint_eval,Lift,none,0;1;2;3;4,400,500,0.8000,0.7627,0.8327,0.0,results/r020_lift_highn_reliability/r020_lift_highn_aggregate.csv,baseline_success,"Five-seed no-intervention baseline for Lift."
R020,repeated_checkpoint_eval,Lift,random,0;1;2;3;4,426,500,0.8520,0.8182,0.8804,269.2,results/r020_lift_highn_reliability/r020_lift_highn_aggregate.csv,baseline_success,"Initial random baseline; later superseded for cost matching by R021 random_b350."
R020,repeated_checkpoint_eval,Lift,lv_voi_scale3,0;1;2;3;4,416,500,0.8320,0.7967,0.8622,202.0,results/r020_lift_highn_reliability/r020_lift_highn_aggregate.csv,partial_then_overturned,"Initially suggested possible human-efficiency; overturned by R021 cost-matched random."
R021,cost_matched_eval,Lift,random_b350,0;1;2;3;4,439,500,0.8780,0.8464,0.9038,177.0,results/r021_random_costmatch/r021_costmatch_aggregate.csv,cost_matched_random_dominates,"Dominates LV-VoI scale3 with higher success and lower human cost."
R021,cost_matched_eval,Lift,random_b450,0;1;2;3;4,426,500,0.8520,0.8182,0.8804,250.0,results/r021_random_costmatch/r021_costmatch_aggregate.csv,random_family_frontier,"Additional random-family point for cost-success frontier."
R021,cost_matched_eval,Lift,random_b600,0;1;2;3;4,426,500,0.8520,0.8182,0.8804,269.2,results/r021_random_costmatch/r021_costmatch_aggregate.csv,random_family_frontier,"Matches the R020 random baseline point."
R021,cost_matched_eval,Lift,lv_voi_scale3,0;1;2;3;4,416,500,0.8320,0.7967,0.8622,202.0,results/r021_random_costmatch/r021_costmatch_aggregate.csv,trigger_superiority_rejected,"Current LV-VoI scale3 is not on the cost-matched frontier."
R022,trigger_repair_eval,Lift,min_disagree_vlv0p25,0;1;2,226,300,0.7533,0.7016,0.7987,211.6667,results/r022_lift_min_disagree_seed0_2/r022_min_disagree_aggregate.csv,repair_negative,"Minimum-disagreement repair remains dominated by same-seed random_b350."
R022,trigger_repair_baseline,Lift,random_b350,0;1;2,259,300,0.8633,0.8198,0.8976,95.0,results/r022_lift_min_disagree_seed0_2/r022_min_disagree_aggregate.csv,baseline_success,"Same-seed baseline used to gate R022 expansion."
R023,trace_diagnostic,Lift,random_b350,0;1;2,,,0.833333,,,95.0,results/r023_real_trace_seed0_2/r023_trace_strategy_diagnostics.csv,trace_baseline,"55 intervention starts; mean g2c_norm 0.284851; mean g2c_xy 0.235331."
R023,trace_diagnostic,Lift,lv_voi_scale3,0;1;2,,,0.816667,,,276.0,results/r023_real_trace_seed0_2/r023_trace_strategy_diagnostics.csv,mechanism_diagnostic,"96 intervention starts; mean g2c_norm 0.217166; score saturation and timing mismatch observed."
R024,trigger_repair_eval,Lift,score_floor_vlv3_after4000_floor0p05,0;1;2,233,300,0.7767,0.7262,0.8201,253.3333,results/r024_score_floor_seed0_2/r024_score_floor_aggregate.csv,repair_negative,"Score floor worked mechanically but did not reduce starts/cost enough."
R024,trigger_repair_baseline,Lift,random_b350,0;1;2,259,300,0.8633,0.8198,0.8976,95.0,results/r024_score_floor_seed0_2/r024_score_floor_aggregate.csv,baseline_success,"Same-seed random baseline remains dominant."
R024,trigger_repair_comparator,Lift,min_disagree_vlv0p25,0;1;2,226,300,0.7533,0.7016,0.7987,211.6667,results/r024_score_floor_seed0_2/r024_score_floor_aggregate.csv,repair_negative,"Included as repaired-trigger comparator in R024 aggregate."
R025,paper_pivot,All,cost_matched_diagnostic_benchmark,R020-R024,,,,,,,results/r025_paper_pivot/claims_evidence_matrix.md,paper_route_supported,"Frames current paper as diagnostic benchmark with negative findings."
R026,paper_artifacts,All,figures_and_tables,R020-R025,,,,,,,figures/R026_MANIFEST.md,paper_artifacts_ready,"Five vector figures and three LaTeX tables generated from existing evidence."
R028,paper_framework,All,diagnostic_protocol_case_study,R020-R027,,,,,,,results/r028_framework_refinement/FRAMEWORK_DECISION.md,paper_framing_refined,"Reframes the manuscript as a diagnostic evaluation protocol with a robotic manipulation case study, not a negative-findings-only paper."
R029,paper_artifacts,All,protocol_hero_and_checklist,R021;R023;R025;R028,,,,,,,figures/fig1_protocol_hero_r029.pdf,protocol_contribution_visualized,"Adds a protocol-centered hero figure candidate, machine-readable protocol checklist, LaTeX checklist table, and include snippets."
R030,project_structure,All,artifact_navigation_and_bookkeeping_module,R020-R029,,,,,,,results/r030_structure_audit/STRUCTURE_AUDIT.md,project_navigation_ready,"Adds CONTEXT, project/result/figure indexes, an ADR, and a first bookkeeping-module extraction without changing experiment behavior."
R031,project_structure,All,trace_schema_module_extraction,R023;R024;R030,,,,,,,results/r031_trace_schema_module/TRACE_SCHEMA_MODULE.md,project_navigation_ready,"Extracts intervention trace schema and row construction into foresight_hil/experiments/trace.py while preserving trace CSV fields and training behavior."
R032,project_structure,All,strategy_spec_module_extraction,R021;R023;R031,,,,,,,results/r032_strategy_spec_module/CODE_AUDIT_AND_FRAMEWORK_REVIEW.md,project_navigation_ready,"Extracts comparison strategy identity, pace flags, run tags, and training CLI construction into foresight_hil/experiments/strategy_specs.py to reduce configuration drift."
R033,project_structure,All,evaluation_protocol_module_extraction,R020-R024;R032,,,,,,,results/r033_evaluation_protocol_module/EVALUATION_PROTOCOL_MODULE.md,project_navigation_ready,"Extracts repeated checkpoint summary aggregation and summary-row formatting into foresight_hil/evaluation/protocol.py for paper-facing evaluation consistency."
R034,project_structure,All,registry_source_validation,R020-R033,,,,,,,results/r034_registry_validation/REGISTRY_VALIDATION.md,project_navigation_ready,"Adds registry source validation, validates all primary sources, and fixes malformed R023 registry rows."
R035,project_structure,All,registry_numeric_audit,R020-R034,,,,,,,results/r035_registry_numeric_audit/REGISTRY_NUMERIC_AUDIT.md,project_navigation_ready,"Adds numeric audit for registry fields against primary CSV rows and validates current registry numeric claims."
